Temperatura,pH,O2  (mg/L),Amonio   (mg/L),TASA MORTALIDAD SI=1/NO=0
20.60,6.80,4.60,0.80,1
20.60,6.80,4.60,0.80,1
20.60,6.80,4.60,0.80,1
20.60,6.80,4.60,0.80,1
20.60,6.80,4.60,0.80,1
20.60,6.80,4.60,0.80,1
32.10,7.00,1.40,0.80,1
20.60,6.80,4.60,0.80,1
32.10,7.00,1.40,0.80,1
20.60,6.80,4.60,0.80,1
32.10,7.00,1.40,0.80,1
20.60,6.80,4.60,0.80,1
30.50,7.00,1.60,0.80,1
30.50,7.00,1.60,0.80,1
30.50,7.00,1.60,0.80,1
30.40,7.00,2.20,0.60,1
30.40,7.00,2.20,0.60,1
30.40,7.00,2.20,0.60,1
31.80,7.00,1.40,0.80,1
31.80,7.00,1.40,0.80,1
31.80,7.00,1.40,0.80,1
31.60,6.20,3.60,0.26,1
31.60,6.20,3.60,0.26,1
31.60,6.20,3.60,0.26,1
30.90,6.40,6.60,0.18,1
30.90,6.40,6.60,0.18,1
30.90,6.40,6.60,0.18,1
30.40,6.20,5.30,0.25,1
30.40,6.20,5.30,0.25,1
30.40,6.20,5.30,0.25,1
32.10,7.00,1.40,0.60,1
32.10,7.00,1.40,0.70,1
30.90,7.00,1.60,0.60,1
30.60,7.00,2.20,0.70,1
31.80,7.00,1.40,0.60,1
32.10,7.00,1.40,0.60,1
32.10,7.00,1.40,0.70,1
30.90,7.00,1.60,0.60,1
30.60,7.00,2.20,0.70,1
31.80,7.00,1.40,0.60,1
32.10,7.00,1.40,0.60,1
32.10,7.00,1.40,0.70,1
30.90,7.00,1.60,0.60,1
30.60,7.00,2.20,0.70,1
31.80,7.00,1.40,0.60,1
29.60,6.20,7.50,0.08,1
29.60,6.20,7.50,0.08,1
29.60,6.20,7.50,0.08,1
28.50,6.20,3.90,0.09,1
28.50,6.20,3.90,0.09,1
28.50,6.20,3.90,0.09,1
29.10,6.30,7.10,0.20,1
31.50,6.30,4.00,0.25,1
30.50,7.00,1.60,0.60,1
32.10,7.00,1.40,0.60,1
32.10,7.00,1.40,0.60,1
32.00,7.00,2.20,0.80,1
31.60,7.00,1.60,0.70,1
31.40,7.00,1.60,0.70,1
29.10,6.30,7.10,0.20,1
31.50,6.30,4.00,0.25,1
30.50,7.00,1.60,0.60,1
32.10,7.00,1.40,0.60,1
32.10,7.00,1.40,0.60,1
32.00,7.00,2.20,0.80,1
31.60,7.00,1.60,0.70,1
31.40,7.00,1.60,0.70,1
29.10,6.30,7.10,0.20,1
31.50,6.30,4.00,0.25,1
30.50,7.00,1.60,0.60,1
32.10,7.00,1.40,0.60,1
32.10,7.00,1.40,0.60,1
32.00,7.00,2.20,0.80,1
31.60,7.00,1.60,0.70,1
31.40,7.00,1.60,0.70,1
28.60,6.20,7.00,0.22,0
28.60,6.20,7.00,0.22,0
28.60,6.20,7.00,0.22,0
32.00,6.20,2.70,0.17,0
30.50,7.00,1.60,0.60,0
31.80,7.00,2.20,0.80,0
31.50,7.00,1.40,0.80,0
32.00,6.20,2.70,0.17,0
30.50,7.00,1.60,0.60,0
31.80,7.00,2.20,0.80,0
31.50,7.00,1.40,0.80,0
